article_title,source_title,abstract,journal_abbreviation,publication_date,publication_year,doi,wo_s_categories,ids_number,ut_unique_wos_id
Climate change on Twitter: Implications for climate governance research,WILEY INTERDISCIPLINARY REVIEWS-CLIMATE CHANGE,"There is increasing public debate about the governance of climate change and its repercussions for nature and human livelihoods. In today's digitalized communication landscape, both public and private actors involved in climate change governance use social media to provide information and to interact with stakeholders and the broader public. This Focus Article discusses two main aspects of debates about climate change and climate governance on Twitter, which previous theories suggest to shape climate governance across domestic and global levels: non-state climate action and public opinion formation on the social media. We see significant advancement in the environmental social sciences studying these two areas. Yet, we also see the need for a better understanding of how public and private actors in the climate governance complex interact on Twitter, and how these actors shape, and are shaped by, experiences, values, and positions. This understanding will help to advance climate governance theories. This article proceeds in three steps. We first discuss previous social media research on non-state climate action and public opinion formation related to climate change and its governance. Then we sketch avenues for future research, elaborating how Twitter data might be used to investigate how non-state climate action and public opinion formation on social media are linked to and influence climate governance. We conclude by making the case for drawing together Twitter data and climate governance research into a more coherent research agenda.This article is categorized under:Policy and Governance > Private Governance of Climate ChangePerceptions, Behavior, and Communication of Climate Change > CommunicationPolicy and Governance > National Climate Change PolicyPolicy and Governance > Multilevel and Transnational Climate Change Governance",WIRES CLIM CHANGE,2023 JUN 18,2023,10.1002/wcc.848,Environmental Studies; Meteorology & Atmospheric Sciences,J1NV9,WOS:001007353400001
DIGITAL MEDIA AND THE PERSONALIZATION OF COLLECTIVE ACTION Social technology and the organization of protests against the global economic crisis,INFORMATION COMMUNICATION & SOCIETY,"Changes related to globalization have resulted in the growing separation of individuals in late modern societies from traditional bases of social solidarity such as parties, churches, and other mass organizations. One sign of this growing individualization is the organization of individual action in terms of meanings assigned to lifestyle elements resulting in the personalization of issues such as climate change, labour standards, and the quality of food supplies. Such developments bring individuals' own narratives to the fore in the mobilization process, often requiring organizations to be more flexible in their definitions of issues. This personalization of political action presents organizations with a set of fundamental challenges involving potential trade-offs between flexibility and effectiveness. This paper analyses how different protest networks used digital media to engage individuals in mobilizations targeting the 2009 G20 London Summit during the global financial crisis. The authors examine how these different communication processes affected the political capacity of the respective organizations and networked coalitions. In particular, the authors explore whether the coalition offering looser affiliation options for individuals displays any notable loss of public engagement, policy focus (including mass media impact), or solidarity network coherence. This paper also examines whether the coalition offering more rigid collective action framing and fewer personalized social media affordances displays any evident gain in the same dimensions of mobilization capacity. In this case, the evidence suggests that the more personalized collective action process maintains high levels of engagement, agenda focus, and network strength.",INFORM COMMUN SOC,NA,2011,10.1080/1369118X.2011.579141,Communication; Sociology,885ZN,WOS:000299820100002
User Selection and Engagement for Climate Services Coproduction,WEATHER CLIMATE AND SOCIETY,"Climate services are high on the international agenda for their potential to help combat the effects of climate change. However, climate science is rarely directly incorporated into the decision-making processes of societal actors, due to what has been identified as the usability gap. This gap is partially due to a failure to timely and meaningfully engage users in the production of climate services, as well as misperceptions as to which users can best benefit from climate service uptake. In this article, we propose user selection and engagement guidelines that integrate important values from participatory science such as those of legitimacy, representativity, and agency. The guidelines consist of 5 1 1 steps: defin-ing why, where, whom, which attributes, and which intensity and how to select and engage with stakeholders. While these steps may be initially implemented by an ideally interdisciplinary team of scientists and service designers, the final step consists of an iterative process by which each decision is agreed on together with the identified users and stakeholders under a coproduction approach. We believe this systematic user selection and engagement practice is key to support the design of climate services aligned to the actual needs of a wide and inclusive range of empowered societal agents. SIGNIFICANCE STATEMENT: A review of the climate science and services literature and related research projects reveals that, despite the insistence to include users in all stages of the research process, users are often involved only sporadically and inconsistently and when there is little room to change the climate service suitable for decision-making. Here, we argue that a reason for this is the lack of user selection and engagement guidelines. Failure to implement a re-search design strategy for these decisions can lead to a lack of usability and applicability of the produced climate-related services, as well as hampering their long-term uptake. These guidelines can thus support the development of usable, coproduced, actionable climate science.",WEATHER CLIM SOC,APR,2023,10.1175/WCAS-D-22-0112.1,Environmental Studies; Meteorology & Atmospheric Sciences,H5PR6,WOS:000996485500001
Fire air pollution reduces global terrestrial productivity,NATURE COMMUNICATIONS,"Fire emissions generate air pollutants ozone (O-3) and aerosols that influence the land carbon cycle. Surface O3 damages vegetation photosynthesis through stomatal uptake, while aerosols influence photosynthesis by increasing diffuse radiation. Here we combine several state-of-the-art models and multiple measurement datasets to assess the net impacts of fire-induced O-3 damage and the aerosol diffuse fertilization effect on gross primary productivity (GPP) for the 2002-2011 period. With all emissions except fires, O-3 decreases global GPP by 4.0 +/- 1.9 Pg C yr(-1) while aerosols increase GPP by 1.0 +/- 0.2 Pg C yr(-1) with contrasting spatial impacts. Inclusion of fire pollution causes a further GPP reduction of 0.86 +/- 0.74 Pg C yr(-1) during 2002-2011, resulting from a reduction of 0.91 +/- 0.44 Pg C yr(-1) by O-3 and an increase of 0.05 +/- 0.30 Pg C yr(-1) by aerosols. The net negative impact of fire pollution poses an increasing threat to ecosystem productivity in a warming future world.",NAT COMMUN,DEC 21,2018,10.1038/s41467-018-07921-4|,Multidisciplinary Sciences,HF3LK,WOS:000454136400004
Event-Based Storylines to Address Climate Risk,EARTHS FUTURE,"The climate science community is challenged to adopt an actionable risk perspective, which is difficult to align with the traditional focus on model-based probabilistic climate change projections. Event-based storylines can provide a way out of this conundrum by putting emphasis on plausibility rather than probability. This links directly to common practices in disaster risk management using stress-testing for emergency preparedness based on events that are conditional on specific and plausible assumptions. Event-based storylines allow for conditional explanations, without full attribution of every causal factor, which is crucial when some aspects of the latter are complex and highly uncertain. Plain Language Summary One of today's major challenges is how to use insights and information from climate sciences to inform decision-making regarding managing risks from climate change, where weather and climate extremes represent a major component of climate-related risk. So far, climate science has taken a probabilistic approach producing large model ensembles and exploring likely ranges, thereby neglecting low-likelihood but potentially high-impact events that pose significant risks to society. Event-based storylines are emerging as an alternative way to explore future high-impact events while taking into account aspects of vulnerability and exposure of the considered system with an emphasis on plausibility rather than probability. This concept links directly to common practices in disaster risk management using stress-testing for emergency preparedness based on events that are conditional on specific, but plausible assumptions. When co-developed by climate scientists and stakeholders, event-based storylines can be informed by physical climate and impact modeling and can provide a useful way of communicating and assessing climate-related risk in a specific decision-making context.",EARTHS FUTURE,FEB,2021,10.1029/2020EF001783,"Environmental Sciences; Geosciences, Multidisciplinary; Meteorology & Atmospheric Sciences",QP4OU,WOS:000623816500015
Granulosa cell-derived extracellular vesicles mitigate the detrimental impact of thermal stress on bovine oocytes and embryos,FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY,"Climate change-induced global warming results in rises in body temperatures above normal physiological levels (hyperthermia) with negative impacts on reproductive function in dairy and beef animals. Extracellular vesicles (EVs), commonly described as nano-sized, lipid-enclosed complexes, harnessed with a plethora of bioactive cargoes (RNAs, proteins, and lipids), are crucial to regulating processes like folliculogenesis and the initiation of different signaling pathways. The beneficial role of follicular fluid-derived EVs in inducing thermotolerance to oocytes during in vitro maturation (IVM) has been evidenced. Here we aimed to determine the capacity of in vitro cultured granulosa cell-derived EVs (GC-EVs) to modulate bovine oocytes' thermotolerance to heat stress (HS) during IVM. Moreover, this study tested the hypothesis that EVs released from thermally stressed GCs (S-EVs) shuttle protective messages to provide protection against subsequent HS in bovine oocytes. For this, sub-populations of GC-EVs were generated from GCs subjected to 38.5? (N-EVs) or 42? (S-EVs) and supplemented to cumulus-oocyte complexes (COCs) matured in vitro at the normal physiological body temperature of the cow (38.5?) or HS (41?) conditions. Results indicate that S-EVs improve the survival of oocytes by reducing ROS accumulation, improving mitochondrial function, and suppressing the expression of stress-associated genes thereby reducing the severity of HS on oocytes. Moreover, our findings indicate a carryover impact from the addition of GC-EVs during oocyte maturation in the development to the blastocyst stage with enhanced viability.",FRONT CELL DEV BIOL,APR 6,2023,10.3389/fcell.2023.1142629,Cell Biology; Developmental Biology,E4YW8,WOS:000975623500001
Benefit risk and cost ratios in sustainable food and health policy: Changing and challenging trajectories,ASIA PACIFIC JOURNAL OF CLINICAL NUTRITION,"There is benefit, risk and cost in all that we do, but when it comes to food, we expect that it will benefit our health, be available, safe to eat and affordable. But as climate change and demographic shifts through displacement and ageing gather momentum, the emphases on each of benefit, risk and cost will alter. That we are ecological beings whose health and wellbeing are ecosystem-dependent, must now be the underpinning framework for risk management. Loss of natural environment and biodiversity represents reduced nutritional and health resilience, which will need to be factored in to risk assessment and management with climate change. This is proving a problematic risk communication challenge. Previously desirable food and food pattern recommendations will be tempered by substantial sustainability, availability, safety, affordability, equity and ethical considerations. Future workforces will need to ensure basic livelihoods (food, water, shelter, clothing, healthcare, education, communication, essential transport, resource management and effective governance) and with risk minimisation Cost appraisal will have less to do with monetisation and more to do with resource management in accordance with equity and ethical principles. Communities could adopt Liveability Units (LU) for traceability and community-based transactions, as a currency for a more sustainable future, encouraging and enabling food and health system viability. Open source food and health systems, supported by LU matrix (bar code or QR) scanning with smartphones could be widely available for individual, household and community benefit, risk and cost management. The risk is remoteness from food's origins and megadata commercialisation.",ASIA PAC J CLIN NUTR,MAR,2020,10.6133/apjcn.202003_29(1).0001,Nutrition & Dietetics,KZ9WC,WOS:000523608500002
CLIMATE CHANGE AND WILDLAND FIREFIGHTER HEALTH AND SAFETY,NEW SOLUTIONS-A JOURNAL OF ENVIRONMENTAL AND OCCUPATIONAL HEALTH POLICY,"The author examines how climate change is impacting wildland firefighters. Climate change has made wildland fires more frequent and more intense. The increase in frequency and intensity of fires has pushed the number of fatalities and injuries higher in recent decades. The most common hazards on fires follow the trend of fire in general in that these hazards become more frequent and intense. Burnovers, heat exhaustion, tree hazards, and many other common fire hazards are more likely. The fire suppression agencies are making every effort to improve health and safety on fires by improving communication, weather forecasting, mapping, fire shelters, decision making and more. Despite these efforts, wildfires are becoming ever more hazardous because of climate change and the increasing frequency and intensity of wildfires.",NEW SOLUT,FEB,2014,10.2190/NS.24.4.i,"Public, Environmental & Occupational Health",VE6NK,WOS:000439904300009
The global survey on public attitudes towards climate change Methodology and literature review,PUBLIC PERCEPTION OF CLIMATE CHANGE: POLICY AND COMMUNICATION,NA,ROU ST ENVIRON COMM,NA,2016,NA,Communication; Environmental Studies; Social Issues,BM8TT,WOS:000469991200004
Functional diversity along elevational gradients in the high altitude vegetation of the western Himalaya,BIODIVERSITY AND CONSERVATION,"The analysis of species distribution and functional diversity (FD) in natural gradients of aridity and temperature at high altitudes could provide indication of future changes in plant communities as both are responsive to environment and strongly influence ecosystem functioning and stability. We established eleven altitudinal transects in high altitude region of western Himalaya, six of which represented north aspect and the rest represented south aspect. In each transect, vegetation was sampled randomly at every 200m elevation to estimate species rarity, niche width and different FD indices [community-weighted mean traits (CWM), functional richness (FRic), functional divergence (FDiv), functional dispersion (FDis) and functional specificity (FSpe)]. These indices indicate resource utilization, competition for resources, optimal plant strategies, and presence of functionally specialist species. We found a total of 418 plant species, most of which were having narrow niche and distribution. Proportion of species with narrow niche was high at higher elevations, 36.5% species were rare with 17% of them being endemic to Himalaya. At south aspect, lower values of CWM plant height along with lower FRic, FDiv, FDis, and FSpe were recorded. Further, CWM plant height, FRic, FDiv, FDis and FSpe significantly decreased with increasing elevation. Influence of gradients of aridity (aspect) and decreasing temperature (elevation) on species distribution and FD suggest that functioning of high altitude communities is very likely to be affected in future. Our findings therefore emphasize that the plant communities present at higher elevations are more vulnerable under climate change.",BIODIVERS CONSERV,JUL,2019,10.1007/s10531-019-01728-5,Biodiversity Conservation; Ecology; Environmental Sciences,IC0QN,WOS:000470665000003
Political equivocation in a less-adversarial campaign context,COMMUNICATION RESEARCH REPORTS,"Scholars often use equivocation theory to explore political evasion in adversarial contexts, such as debates or press conferences, but less is known about equivocation in less-adversarial contexts. This content analysis reviews question-answer sequences during CNN's 2019 climate crisis town hall, a less-adversarial campaign event, to address the question Are politicians inherently evasive? Contrary to the norm of evasiveness, the results demonstrated that politicians did not significantly equivocate when asked face-threatening questions. Politicians were also more likely to directly respond to moderator questions compared to public questions.",COMMUN RES REP,NA,2020,10.1080/08824096.2020.1811659,Communication,PP2BN,WOS:000605672900008
Integration of communication technologies in sensor networks to monitor the Amazon environment,JOURNAL OF CLEANER PRODUCTION,"Monitoring environmental parameters in the Amazon Rainforest is currently of great significance, as the rainforest actively contributes to the reduction of the climate change impact. The present study demonstrates the integration of various communication technologies based on open source software for monitoring environmental parameters in the Peruvian Amazon. The Napo River is a direct tributary of the Amazon River, connecting 450 km in the region of Loreto, Peru. The WiFi network that runs alongside the river is considered the longest in the world. This network will serve as a transport network over which available measurements, including humidity, temperature, total solar radiation (TSR), photosynthetically active radiation (PAR), and volumetric water content from the environmental sensors, will be relayed. The linkage between the diverse technologies, from the sensor network to the communication network, and the visualisation on the Internet are explained. The entire project has been planned using low-cost sensors, open source software, and minimal energy consumption. (C) 2013 Elsevier Ltd. All rights reserved.",J CLEAN PROD,NOV 15,2013,10.1016/j.jclepro.2013.06.041,"Green & Sustainable Science & Technology; Engineering, Environmental; Environmental Sciences",237YI,WOS:000325907200003
"EMERGING TECHNOLOGIES AND APPROACHES FOR IN SITU, AUTONOMOUS OBSERVING IN THE ARCTIC",OCEANOGRAPHY,"Understanding and predicting Arctic change and its impacts on global climate requires broad, sustained observations of the atmosphere-ice-ocean system, yet technological and logistical challenges severely restrict the temporal and spatial scope of observing efforts. Satellite remote sensing provides unprecedented, pan-Arctic measurements of the surface, but comple-mentary in situ observations are required to complete the picture. Over the past few decades, a diverse range of autonomous platforms have been developed to make broad, sustained observa-tions of the ice-free ocean, often with near-real-time data delivery. Though these technologies are well suited to the difficult environmental conditions and remote logistics that complicate Arctic observing, they face a suite of additional challenges, such as limited access to satellite services that make geolocation and communication possible. This paper reviews new platform and sensor developments, adaptations of mature technologies, and approaches for their use, placed within the framework of Arctic Ocean observing needs.",OCEANOGRAPHY,DEC,2022,10.5670/oceanog.2022.127,Oceanography,4N5FL,WOS:000854044700001
Using social representations theory to make sense of climate change: what scientists and nonscientists in Australia think,ECOLOGY AND SOCIETY,"The mass media has ensured that the challenging and complex phenomenon of climate change now has the household familiarity of a brand name. But what is it that is understood by climate change, and by whom? What frame of reference is drawn upon to communicate meaningfully about climate change? Do particular subgroups within our society hold different understandings, or have the debate and the prolific dissemination of information about this issue coalesced around a core perception or image of what climate change is? To answer these questions, we conceptualized climate change within the theory of social representations as emergent socially constructed knowledge. We analyzed word association data collected in Australia from persons identifying as having a scientific, government, or general public background (N = 3300). All respondents were asked to write the first words that came to mind when they thought about climate change. Comparative analyses of the word associations reveal that respondents from different backgrounds define climate change in different ways. The results suggest that there is a common core set of concepts shared by the different groups, but there are also a great many differences in how climate change is framed and conceived by respondents. The results are discussed in relation to what they imply for responses to climate change by these social groups and in relation to interventions designed to encourage climate adaptation.",ECOL SOC,NA,2014,10.5751/ES-06592-190319,Ecology; Environmental Studies,AR0GH,WOS:000343247200018
Temperature effects on the physiological status and reflex impairment in European grayling Thymallus thymallus from catch-and release angling,FISHERIES RESEARCH,"There is a growing body of research communicating how angler behaviour can be adjusted and optimised to reduce fish injury and impairment resulting from the capture of recreationally angled fishes. However, few studies have focused on how individual and interacting abiotic variables influence the outcomes of catch and release (C&R) angling. A population of European grayling Thymallus thymallus at their upper thermal limit of their geographic distribution provided a model cold-water species that was representative of other fishes sensitive to climate warming impacts and that are subjected to C&R across different seasons. Here, C&R angling for T. thymallus was conducted during summer (> 15 degrees C) and winter (< 10 degrees C), with 97 fish captured (220-490 mm). Measurement of tertiary stress responses (reflex impairment, as time to body equilibrium, an important predictor of post-release mortality) revealed that at > 15 degrees C, fish took significantly longer to regain equilibrium (178 +/- 44 s) than at < 10 degrees C (70 +/- 40 s). Multivariate testing revealed air exposure had a stronger effect on reflex impairment than fight time. Testing of post-capture, pre-release blood chemistry on sub-samples of captured fish revealed fish had significantly elevated levels of both glucose and lactate at > 15 degrees C versus < 10 degrees C, In entirety, these results suggest that stress responses and post-release mortality risk in cold-water fishes subjected to C&R could be reduced via temperature-informed fishery management practises, and by minimising, or ideally eliminating, air exposure",FISH RES,MAR,2019,10.1016/j.fishres.2018.11.014,Fisheries,HI9BW,WOS:000456751300020
"AtTGA4, a bZIP transcription factor, confers drought resistance by enhancing nitrate transport and assimilation in Arabidopsis thaliana",BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,"To cope with environmental stress caused by global climate change and excessive nitrogen application, it is important to improve water and nitrogen use efficiencies in crop plants. It has been reported that higher nitrogen uptake could alleviate the damaging impact of drought stress. However, there is scant evidence to explain how nitrogen uptake affects drought resistance. In this study we observed that bZIP transcription factor AtTGA4 (TGACG motif-binding factor 4) was induced by both drought and low nitrogen stresses, and that overexpression of AtTGA4 simultaneously improved drought resistance and reduced nitrogen starvation in Arabidopsis. Following drought stress there were higher nitrogen and proline contents in transgenic AtTGA4 plants than in wild type controls, and activity of the key enzyme nitrite reductase (NIR) involved in nitrate assimilation processes was also higher. Expressions of the high-affinity nitrate transporter genes NRT2.1 and NRT2.2 and nitrate reductase genes NIA1 and NIA2 in transgenic plants were all higher than in wild type indicating that higher levels of nitrate transport and assimilation activity contributed to enhanced drought resistance of AtTGA4 transgenic plants. Thus genetic transformation with AtTGA4 may provide a new approach to simultaneously improve crop tolerance to drought and low nitrogen stresses. (C) 2015 Elsevier Inc. All rights reserved.",BIOCHEM BIOPH RES CO,FEB 13,2015,10.1016/j.bbrc.2015.01.009,Biochemistry & Molecular Biology; Biophysics,CD7EX,WOS:000351254700032
Monthly storminess over the Po River Basin during the past millennium (800-2018 CE),ENVIRONMENTAL RESEARCH COMMUNICATIONS,"Reconstructing the occurrence of diluvial storms over centennial to millennial time-scales allows for placing the emergence of modern damaging hydrological events in a longer perspective to facilitate a better understanding of their rate of return in the absence of significant anthropogenic climatic forcing. These extremes have implications for the risk of flooding in sub-regional river basins during both colder and warmer climate states. Here, we present the first homogeneous millennium-long (800-2018 CE) time-series of diluvial storms for the Po River Basin, northern Italy, which is also the longest such time-series of monthly data for the entire Europe. The monthly reconstruction of damaging hydrological events derives from several types of historical documentary sources and reveals 387 such events, allowing the construction of storm severity indices by transforming the information into a monthly, quantitative, record. A period of reduced diluvial storms occurred in the ninth and tenth centuries, followed by a stormier period culminating in the eleventh and thirteenth centuries. More complex patterns emerge in the fourteenth to sixteenth centuries, with generally wetter and stormier conditions than during other centuries. From the seventeenth century onwards the number of damaging hydrological events decreases, with a return in recent decades to conditions similar to those prior to the thirteenth century The flood frequency tended to increase for all seasons during periods of low solar irradiance, suggesting the presence of solar-induced circulation changes resembling the negative phases of the Atlantic Multidecadal Variability as a controlling atmospheric mechanism.",ENVIRON RES COMMUN,MAR,2020,10.1088/2515-7620/ab7ee9,Environmental Sciences,OC9WW,WOS:000579507900004
Climate crisis and flying: social media analysis traces the rise of flightshame,JOURNAL OF SUSTAINABLE TOURISM,"Even before the global halt to extensive mobility due to the coronavirus crisis, there has been growing resistance amongst some groups to flying. Reflecting increasing concern about the imminent climate emergency, the phenomenon of feeling ashamed of flying and expressing related emotions through communication has resulted in the neologism flygskam. Drawing on 14,212 Twitter posts that contained flygskam and a further 1037 using the English flightshame, this research examined the spatial-temporal spread of these words from Sweden starting in 2016 to the rest of the world indicating a global phenomenon. The findings indicate that national context continues to be important in understanding the nexus of individual and social sensemaking and processing of new information. They also demonstrate, however, that global networks (facilitated through social media) might challenge the needs of physical mobility as requirements to connect, exchange views, and create identity through peer group membership. Further analysis of the content revealed key perspectives and topics, providing insight into the relatively homogeneous discussions amongst a network community. Only 6% of posts rejected the notion, whilst the majority indicated support and advanced suggestions for more sustainable alternatives. It might be too early to say whether language behaviour expressed in online communication translates into real behaviour, but the current pandemic may well provide further impetus to no-fly movements by way of a strategic alliance between different peer groups.",J SUSTAIN TOUR,SEP 2,2021,10.1080/09669582.2020.1851699,"Green & Sustainable Science & Technology; Hospitality, Leisure, Sport & Tourism",SE8US,WOS:000594048900001
The Future of Marine Spatial Planning-Perspectives from Early Career Researchers,SUSTAINABILITY,"In early 2021, the Erasmus+ knowledge flows partnership organised a session to discuss the future of marine spatial planning (MSP) at an international conference. We, a group of nine early career researchers, came together after the conference to continue the discussion: which topics should be considered in future MSP, what are the challenges, and which solutions are there to overcome these challenges? This communication shall raise awareness of the topics of climate change, ecological sustainability, blue justice, ecosystem services, and blue governance, which we identified as important for future MSP endeavours. We show the interconnectedness of the topics and argue that transdisciplinary education is required to contribute to a common understanding of MSP, which adopts an ecosystem-based approach, ensures equitable distribution of benefits, and secures ecologically sustainable development within an adaptive governance framework.",SUSTAINABILITY-BASEL,DEC,2021,10.3390/su132413879,Green & Sustainable Science & Technology; Environmental Sciences; Environmental Studies,XY8WY,WOS:000737246900001
Food for Hope: The Role of Personal Resources in Farmers' Adoption of Green Technology,SUSTAINABILITY,"Innovative technologies are expected to play a significant role in climate change mitigation and adaptation within the agriculture sector and in global food security. Clearly, however, the value of technological innovations in the agriculture sector is premised on their adoption. Therefore, understanding why farmers differ in their adoption of innovative green technologies is important. In the following paper, we review current literature and set the theoretical framework for suggesting that three important personal resources correlate with agricultural technology adoption: positive emotions, character strengths (including specific ones), and cognitive goal-oriented hope. This study constitutes an important theoretical basis for future practical recommendations for environmental policy, positive psychology, and innovation adoption that may help narrow some of the gaps in technology adoption rates. In addition to its theoretical innovation, the importance of this study lies in its practical value: we focus on variables that are influenced through policy, education, and communication. The theoretical connections between positive psychology and environmental studies emerging from this study should be developed and explored. We hope that this new perspective will motivate future research on these factors within diverse farming communities across different nations.",SUSTAINABILITY-BASEL,MAY,2018,10.3390/su10051615,Green & Sustainable Science & Technology; Environmental Sciences; Environmental Studies,GJ7RP,WOS:000435587100311
Understanding the Communication of Climate Change Risk: Climate Scientists' Perspectives of Media Sources and Policy Makers,RISK HAZARDS & CRISIS IN PUBLIC POLICY,"Despite the volumes of research that climate scientists produce examining the causes, effects, and history of global climate change, there continues to be an acceptance gap between these scientists and the public and government officials. While climate scientists share a consensus that climate change is occurring and is primarily caused by human activity, many citizens and public officials remain skeptical about climate change. One cause of this gap could be the nature of scientists' communications of their work to the media, the public, and decision makers within the government. We conducted a survey of climate scientists to find out how they view this gap, its causes, and potential solutions. We focus our analysis on the scientists' assessments of three intervening factors - knowledge, media relations, and trust.",RISK HAZARDS CRISIS,DEC,2014,10.1002/rhc3.12066,Public Administration,V4S0C,WOS:000219209700001
The macroeconomic effects of adapting to high-end sea-level rise via protection and migration,NATURE COMMUNICATIONS,"Climate change-induced sea level rise (SLR) is projected to be substantial, triggering human adaptation responses, including increasing protection and out-migration from coastlines. Yet, in macroeconomic assessments of SLR the latter option has been given little attention. We fill this gap by providing a global analysis of the macroeconomic effects of adaptation to SLR, including coastal migration, focusing on the higher end of SLR projections until 2050. We find that when adapting simultaneously via protection and coastal migration, macroeconomic costs can be lower than with protection alone. For some developing regions coastal migration is even less costly (in GDP) than protection. Additionally, we find that future macroeconomic costs are dominated by accumulated macroeconomic effects over time, rather than by future direct damages, implying the need for immediate adaptation. Finally, we demonstrate the importance of including autonomous adaptation in the reference scenario of economic assessment studies to avoid overestimation of adaptation benefits. The authors calculated the economy-wide costs of sea level rise and possible adaptation options. Protection clearly pays off and when combining protection and coastal migration, costs can be brought down further, yet, residual damage costs are large.",NAT COMMUN,SEP 29,2022,10.1038/s41467-022-33043-z,Multidisciplinary Sciences,4Z2SM,WOS:000862065400030
Scaling just transitions: Legitimation strategies in coal phase-out commissions in Canada and Germany,POLITICAL GEOGRAPHY,"Climate change mitigation triggers both spatial and moral complexities, as demonstrated by the contentious issue of phasing out coal power. The success of the Paris Agreement depends on, among other things, the acceptability of climate policy measures and thus, from a moral perspective, on the ability to organize transition processes in ways that do not damage the livelihoods of workers, communities, and entire regions. Spatially, the unequal distributions of burdens and advantages of both climate change and respective mitigation measures provoke struggles over their legitimacy in contexts ranging from local to global. Phasing out coal mining and the respective power generation capacity thus triggers processes of structural transformation that cut across geographic scales, vertical levels of policy and politics, as well as sectoral boundaries. In light of the urgency of the climate crisis, countries such as Canada and Germany have established stakeholder-driven commissions to develop proposals for just transition pathways for phasing out coal production and consumption. We argue that these commissions are arenas in which spatial, moral, and sectoral (re-) negotiations materialize. Comparing the Canadian and German stakeholder commissions through expert interviews with their members, the article traces how governments use commissions to legitimize their transition policies. Expectations at different levels and from different actors in turn place commission members under pressure to justify their involvement and the outputs of the commissions. We find that the Canadian task force showed greater commitment to collecting and reflecting the needs of communities in its coal regions, and to communicating these to the federal government. In the German coal commission, legitimation strategies focused mainly on a broad representation of interests, and on government spending for affected regions, workers, and industries. In that case, a compromise was reached that satisfied most, but not all, of the diverse requirements.",POLIT GEOGR,JUN,2021,10.1016/j.polgeo.2021.102406,Geography; Political Science,SU2VZ,WOS:000663001300004
Consumers and technology in a changing world: the perspective from subsistence marketplaces,EUROPEAN JOURNAL OF MARKETING,"Purpose The purpose of this paper is to provide a perspective on consumers and technology in a changing world using insights gained from subsistence marketplaces. Consumers in a changing world are on different parts of the economic spectrum and are also reflected in contexts of poverty that is termed subsistence marketplaces. Data comes from pioneering the subsistence marketplaces stream of research, education and social enterprise. Design/methodology/approach The authors study the intersection of poverty and marketplaces, beginning at the micro-level, and take a bottom-up approach to deriving implications. Findings The authors cover both aspects - what micro-level insights about thinking, feeling and coping mean for technology perceptions and usage in general and what specific insights are derived for designing and implementing solutions that have bearing on the use of technology. In the course of all endeavors in research, education and social enterprise, technology, particularly information and communications technology, has been central. Research limitations/implications - The authors discuss implications for research at the confluence of a variety of uncertainties inherent in the context of subsistence marketplaces, in environmental issues and climate change and in the nature and speed of technological change and progress. Practical implications - In this paper, the authors discuss what subsistence marketplaces mean for consumers and technology in a changing world, lessons learned for the design and development of technological solutions, technological innovation from subsistence marketplaces and a broader discussion of the importance of bottom-up approaches to the intersection of subsistence marketplaces and technological solutions. Originality/value The authors use insights developed from pioneering the arena of subsistence marketplaces and creating synergies between research, education and social enterprise.",EUR J MARKETING,JUN 10,2019,10.1108/EJM-11-2017-0826,Business,IK3QF,WOS:000476502800010
The Role of Indigenous and Traditional Knowledge in Ecosystem-Based Adaptation: A Review of the Literature and Case Studies from the Pacific Islands,WEATHER CLIMATE AND SOCIETY,"Ecosystem-based Adaptation (EbA) is increasingly being advocated as a climate adaptation approach that can deliver multiple benefits to communities. EbA scholarship argues that community-based projects can strengthen those ecosystems that deliver critical services to communities and in doing so enhance community resilience. In particular, the inclusion of indigenous and traditional knowledge (ITK) into community-based EbA projects is positioned as critical to successful climate adaptation. Yet, there is surprisingly little investigation into how ITK is being defined and incorporated into EbA initiatives. This paper critically reviews EbA literature and provides empirical examples from Vanuatu and Samoa to demonstrate the different ways ITK relates to EbA projects. We find that there is widespread recognition that ITK is important for indigenous and local communities and can be employed successfully in EbA. However, this recognition is more aspirational than practical and is not being necessarily translated into ITK-informed or ITK-driven EbA projects. ITK should not be conceptualized simply as a collection of local environmental information that is integrated with Western scientific knowledge. Instead, ITK is part of nested knowledge systems (information-practices-worldviews) of indigenous peoples. This knowledge includes local natural resource management, sociocultural governance structures, social norms, spiritual beliefs, and historical and contemporary experiences of colonial dispossession and marginalization. At present, most EbA projects focus on the provision of information to main decision-makers only; however, since ITK is held collectively, it is essential that entire communities are included in ITK EbA projects. There is a huge potential for researchers and ITK holders to coproduce knowledge that would be best placed to drive climate adaptation in a changing world.",WEATHER CLIM SOC,OCT,2018,10.1175/WCAS-D-18-0032.1,Environmental Studies; Meteorology & Atmospheric Sciences,GW3QM,WOS:000446821400001
